67,2510,17034,24013,7267,15448,12704,10715,19227,11993,8831,1116,906,3554,10832,3385,75645,2072,8883,3745,98,451,699,11781,308,70800,2549,78,1617,1728,3769,4069,5135,3149,7102,3681,20927,20071,13472,2904,3262,2550,48542,49874,3494,14003,1148,4587,15471,3576,8295,315,19667,11163,11463,11919,49743,1963,2073,13921,12079,3085,10302,3842,1558,1341,3965,8713,1865,4195,5279,42011,7561,8330,3102,11580,1121,7912,2395,2942,23116,2912,10784,2116,8248,13458,3873,6710,8212,4180,11179,6310,2236,260
68,1957,15406,16819,6892,12801,10676,7373,14241,11884,8033,1141,887,3414,11142,3134,75330,1506,7479,3485,78,457,563,9561,278,72790,2828,56,1702,1765,3431,4098,5288,2974,4512,3303,20308,16591,13326,2904,3990,2399,37256,39631,2974,11870,943,3901,14829,3920,7422,310,19661,10458,9727,9113,40910,1539,1567,11889,9533,1811,7921,2930,1028,2553,4394,9565,2046,3123,4858,32557,7191,8772,3734,11533,967,6059,1912,2765,18829,3283,10227,2097,8175,11386,4412,6857,5690,4119,11021,5819,2932,199
69,2429,22976,21601,8363,15547,11795,10646,13821,12568,8735,1400,1248,4376,13313,4043,102440,1996,11019,3324,116,564,851,12221,434,100961,3017,111,2494,2585,3976,4651,5831,4533,7193,3847,26736,22902,17574,4620,4216,2891,56828,54980,4388,15619,1328,6185,17720,4297,9131,435,25060,12051,11418,11097,54483,1974,1484,16464,12182,1447,9080,2617,1293,2360,5109,10309,2093,4105,6093,48757,9275,8471,3578,11949,1165,7998,2116,3423,22791,4018,13759,2336,8974,15198,6040,8065,7360,5522,11386,6756,3529,317
70,2168,18115,18558,6577,14995,11285,10179,16540,13964,8473,1255,980,3629,10933,3566,89528,1644,8911,4434,93,443,746,10204,391,85007,3557,79,2017,2109,3281,3319,6319,3455,6440,3903,26720,19916,19590,3278,4260,2890,54915,45880,3718,13759,943,4379,13962,4124,8772,324,27066,13013,11142,14004,46898,1601,1554,18804,10940,2228,9269,3884,1034,1780,5820,9959,1772,3429,5472,50111,6708,10028,3597,13235,993,7850,2094,3236,20803,3641,10846,1902,7057,12581,4400,8763,7315,5679,10137,6479,3205,225
72,2839,15681,17831,6992,11475,12630,11018,15617,11915,7396,1328,1074,4357,10343,4070,89352,1858,7266,4670,105,676,636,11129,478,86104,2570,79,2243,2381,4067,4291,5361,4137,6084,3742,24574,18817,14303,4309,4254,2818,48204,50994,3985,14023,1184,5391,16340,4030,7492,473,24572,11159,10989,10321,48634,2070,2494,12704,12896,3392,10215,3784,1546,1759,4882,10720,2479,4503,5565,42643,6579,8685,4240,10984,1162,6851,2471,3298,23369,2494,10904,2216,9223,13327,4002,7170,6838,4778,12708,6572,2919,192
74,2537,16196,47819,6752,13838,13064,9014,41385,10908,8398,1150,917,3265,11065,3248,80928,1989,7884,3749,74,441,699,10798,163,77123,2845,66,1792,1846,2631,4373,5974,3131,8155,3751,24282,18517,15023,2953,3980,2880,48780,47155,5004,14467,1193,5871,14930,4119,7966,300,23180,10111,9763,11761,46900,2241,1384,15552,11146,1656,8157,3637,1415,2407,5369,10675,1919,3558,5138,44273,7531,8688,3598,10910,1307,8448,2755,2998,22083,3025,9654,1987,8468,14340,4833,7922,7430,4845,11150,6078,3511,198
76,2252,16313,21882,6125,13307,12695,8485,13159,10619,8112,1159,979,3381,10574,3427,81092,1528,7076,2039,96,436,517,10225,168,76698,2897,72,1947,2141,2007,3615,5542,3918,6063,3692,23117,19517,12799,3816,4248,2028,44738,44850,2862,11091,742,3140,13457,4974,9071,322,25290,9018,12625,10471,43602,1632,914,11825,11515,1359,7055,2112,739,1511,3835,8623,1538,2482,5024,40315,6644,8417,3893,11308,701,8044,1805,3165,16545,3170,10582,1305,6213,11474,3562,5984,8232,4542,10771,5898,3026,159
78,2253,16639,23398,6454,11865,10344,9059,20308,11087,8535,1346,1026,3660,9861,3560,82697,1811,8565,3301,92,514,763,10537,424,84001,2734,60,2125,2070,2855,3507,4950,3806,6108,3885,23531,18082,12963,3721,3594,2274,51633,49694,3370,13710,960,4405,14871,3717,8873,377,23927,9809,8805,9017,49599,1575,1331,14377,10547,1911,8737,2937,1112,1347,3083,8978,1457,3086,5232,47299,7178,7865,2701,10964,1043,7416,2022,3267,23273,3058,11873,1854,7140,11235,3750,7360,7987,4241,11180,6420,2249,215
80,2180,16485,12549,6219,11333,10623,8162,10840,9486,8404,1128,997,3395,10190,3421,77477,1442,7563,2868,74,442,599,8967,371,71362,2753,76,1643,1704,3118,3241,4467,2926,4789,3353,25356,17254,13023,2731,3222,2121,45982,46069,3328,11272,703,4796,12142,3325,7883,340,20522,8624,10788,8715,41809,1758,1092,10623,9674,1392,7292,2464,868,1621,3611,9268,1397,3023,4495,39699,6520,6143,3261,10298,678,6000,1884,2670,17571,3220,9304,1354,6503,10203,2822,5521,6337,3592,8746,5369,2636,259
81,2410,17410,25352,6919,12486,12308,9243,22873,10568,9196,1160,935,3638,9699,3506,72267,1395,7913,3886,80,479,596,11887,299,70525,2299,58,2059,1875,2769,3436,4921,3785,6012,3380,22875,18541,14171,3205,3487,2727,41863,48297,2931,13092,1043,4653,14796,3786,9006,358,20171,10380,9127,10594,47517,2030,1418,14093,11020,1605,8464,2716,1114,1586,4060,10314,1860,2914,4817,37867,7040,8858,3269,10506,943,5626,1913,2843,21051,2785,11632,1923,7695,12552,4385,5304,7348,4353,13221,5533,2346,253
